subject,identifier,type,creator,title,volume,edition,publisher,year,format,ISBN,ISSN,ISMN,EAN/UPC,binding/price,language,country,date of publication,description,collective title,links,relation,rights,subject headings,connected titles,uniform title,frequency,wv number
340 Recht,"URN:urn:nbn:de:bsz:mh39-121653, URL:http://nbn-resolving.de/urn:nbn:de:bsz:mh39-121653, URL:http://d-nb.info/1307021719/34, URL:https://ids-pub.bsz-bw.de/frontdoor/index/index/docId/12165, IDN:1307021719",Online-Ressource,"Kamocki, Paweł [Verfasser] ; Hinrichs, Erhard [Verfasser] ; Leinen, Peter [Verfasser] ; Springer, Sabine Verfasser] ; [Witt, Andreas [Verfasser] ; Zechmann, Dorothea [Verfasser] ; Sure-Vetter, York [Herausgeber] ; Goble, Carole [Herausgeber]","Open Science and language data: Expectations vs. reality. The role of research data infrastructures / Paweł Kamocki, Erhard Hinrichs, Peter Leinen, Sabine Springer, Andreas Witt, Dorothea Zechmann ; Herausgeber: York Sure-Vetter, Carole Goble",,,Hannover : Technische Informationsbibliothek; Mannheim : Leibniz-Institut für Deutsche Sprache (IDS),2023,Online-Ressource,,,,,,eng,XA-DE-BW,,,,,,lizenzfrei,Forschungsdaten ; Infrastruktur ; Sprachdaten ; Urheberrecht ; Data Mining ; Open Science,,,,"23,O11"
"000 Allgemeines, Wissenschaft","URN:urn:nbn:de:kobv:517-opus4-594897, URL:http://nbn-resolving.de/urn:nbn:de:kobv:517-opus4-594897, URL:http://d-nb.info/1292690615/34, URL:https://publishup.uni-potsdam.de/frontdoor/index/index/docId/59489, IDN:1292690615",Online-Ressource,,Open-Science-Leitlinien der Universität Potsdam,,,Potsdam : Universität Potsdam,2023,Online-Ressource,,,,,,ger,XA-DE-BB,,,,,,lizenzfrei,,,,,"23,O07"
"000 Allgemeines, Wissenschaft","URN:urn:nbn:de:kobv:11-110-18452/26928-7, URL:http://nbn-resolving.de/urn:nbn:de:kobv:11-110-18452/26928-7, URL:http://d-nb.info/1283924307/34, URL:http://edoc.hu-berlin.de/18452/26928, IDN:1283924307",Online-Ressource,"Lüdtke, Denise [Verfasser] ; Schaffer, Fabian [Verfasser] ; Ambrasat, Jens [Verfasser]","Open Science. Forschungspraktiken im Berliner Forschungsraum / Denise Lüdtke, Fabian Schaffer, Jens Ambrasat",,,Berlin : Humboldt-Universität zu Berlin,2023,Online-Ressource,,,,,,ger,XA-DE-BE,,,,,,lizenzfrei,,,,,"23,O04"
004 Informatik,"URN:urn:nbn:de:hbz:386-kluedo-72103, URL:http://nbn-resolving.de/urn:nbn:de:hbz:386-kluedo-72103, URL:http://d-nb.info/1283925087/34, URL:https://kluedo.ub.rptu.de/frontdoor/index/index/docId/7210, IDN:1283925087",Online-Ressource,"Manuel, Dossinger [Verfasser] ; Michel, Sebastian [Akademischer Betreuer]","Optimizing Multi-Way Joins for Adaptive, Scale-out Stream Processing / Dossinger Manuel ; Betreuer: Sebastian Michel",,,Kaiserslautern-Landau : Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,2023,Online-Ressource,,,,,,eng,XA-DE-RP,,,,,,lizenzfrei,,,,,"23,O04"
004 Informatik,"URN:urn:nbn:de:hbz:467-26841, URL:http://nbn-resolving.de/urn:nbn:de:hbz:467-26841, URL:http://d-nb.info/1322130345/34, URL:https://dspace.ub.uni-siegen.de/handle/ubsi/2684, IDN:1322130345",Online-Ressource,"Saseendran, Amrutha [Verfasser] ; Keuper, Margret [Gutachter]",Optimizing the latent space of deep generative models / Amrutha Saseendran ; Gutachter: Margret Keuper,,,Siegen : Universitätsbibliothek der Universität Siegen,2023,Online-Ressource,,,,,,eng,XA-DE-NW,,,,,,lizenzfrei,,,,,"24,O04"
004 Informatik,"URN:urn:nbn:de:101:1-2023121813102384688515, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2023121813102384688515, URL:http://d-nb.info/1313917923/34, URL:https://kobra.uni-kassel.de/handle/123456789/15182, IDN:1313917923",Online-Ressource,"Stubbemann, Maximilian [Verfasser]","Orometry, intrinsic dimensionality and learning: Novel insights into network data / Maximilian Stubbemann",,,Kassel : Universitätsbibliothek Kassel,2023,Online-Ressource,,,,,,eng,XA-DE-HE,,,,,,lizenzfrei,Graph ; Soziales Netzwerk ; Analyse ; Maschinelles Lernen ; Dimension ; Deep learning,,,,"24,O01"
004 Informatik,"URN:urn:nbn:de:bvb:91-diss-20230315-1686235-1-5, URL:http://nbn-resolving.de/urn:nbn:de:bvb:91-diss-20230315-1686235-1-5, URL:http://d-nb.info/1292765755/34, URL:http://nbn-resolving.de/urn:nbn:de:bvb:91-diss-20230315-1686235-1-5, IDN:1292765755",Online-Ressource,"Kaltenbach, Sebastian Johannes Verfasser] ; [Koutsourelakis, Phaedon-Stelios [Akademischer Betreuer] ; Koumoutsakos, Petros Gutachter] ; [Koutsourelakis, Phaedon-Stelios [Gutachter] ; Perdikaris, Paris [Gutachter]","Physics-aware, probabilistic machine learning in the Small Data regime / Sebastian Johannes Kaltenbach ; Gutachter: Petros Koumoutsakos, Phaedon-Stelios Koutsourelakis, Paris Perdikaris ; Betreuer: Phaedon-Stelios Koutsourelakis",,,München : Universitätsbibliothek der TU München,2023,Online-Ressource,,,,,,eng,XA-DE-BY,,,,,,lizenzfrei,,,,,"23,O07"
"610 Medizin, Gesundheit","URN:urn:nbn:de:hebis:77-openscience-413e71fd-4cbf-4fab-81f9-95ab13e23d5b3, URL:http://nbn-resolving.de/urn:nbn:de:hebis:77-openscience-413e71fd-4cbf-4fab-81f9-95ab13e23d5b3, URL:http://d-nb.info/128050157X/34, URL:https://openscience.ub.uni-mainz.de/handle/20.500.12030/8591, IDN:128050157X",Online-Ressource,"Bayer, Oliver [Verfasser] ; Cascant Ortolano, Lorena Verfasser] ; Filbert, Anna-Liesa [Verfasser] ; Hoffmann, Dorle [Verfasser] ; [Schweizer, Stefanus [Verfasser]","Praxisleitfaden Systematische Reviews / Oliver Bayer, Lorena Cascant Ortolano, Anna-Liesa Filbert, Dorle Hoffmann, Stefanus Schweizer",,,Mainz : Universitätsbibliothek der Johannes Gutenberg-Universität Mainz,2023,"Online-Ressource, 111 Seiten",,,,,,ger,XA-DE-RP,,,,,,lizenzfrei,,,,,"23,O03"
004 Informatik,"URN:urn:nbn:de:101:1-2023121802070173035788, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2023121802070173035788, URL:http://d-nb.info/1313815519/34, URL:https://www.db-thueringen.de/receive/dbt_mods_00059183, IDN:1313815519",Online-Ressource,"Schulte, Horst Herausgeber] ; [Hoffmann, Frank [Herausgeber] ; Mikut, Ralf [Herausgeber]","Proceedings 33. Workshop Computational Intelligence : Berlin, 23.-24. November 2023 / Herausgeber: Horst Schulte, Frank Hoffmann, Ralf Mikut",,,Ilmenau : TU Ilmenau,2023,Online-Ressource,,,,,,mul,XA-DE-TH,,,,,,lizenzfrei,Fuzzy-Regelsystem ; Neuronales Netz ; Evolutionärer Algorithmus ; Data Mining,,,,"24,O01"
"360 Soziale Probleme, Sozialdienste, Versicherungen","URN:urn:nbn:de:bsz:753-opus4-31682, URL:http://nbn-resolving.de/urn:nbn:de:bsz:753-opus4-31682, URL:http://d-nb.info/1325678953/34, URL:https://hses.bsz-bw.de/frontdoor/index/index/docId/3168, IDN:1325678953",Online-Ressource,"Wojnicki-Wartenberg, Tomasz [Verfasser] ; Wolf, Jonas [Akademischer Betreuer] ; Leopold, Tobias [Gutachter]",Quantitative Untersuchung des Einflusses von Software-Fehlern auf überwachte und angeordnete Fahrzeugrückrufe mithilfe maschineller Lernmethoden / Tomasz Wojnicki-Wartenberg ; Gutachter: Tobias Leopold ; Betreuer: Jonas Wolf,,,Esslingen : Hochschule Esslingen,2023,Online-Ressource,,,,,,ger,XA-DE-BW,,,,,,lizenzfrei,Fahrzeugrückruf ; Software ; Datenanalyse ; Maschinelles Lernen,,,,"24,O05"
