subject,identifier,type,creator,title,volume,edition,publisher,year,format,ISBN,ISSN,ISMN,EAN/UPC,binding/price,language,country,date of publication,description,collective title,links,relation,rights,subject headings,connected titles,uniform title,frequency,wv number
004 Informatik,"URN:urn:nbn:de:kola-21341, URL:http://nbn-resolving.de/urn:nbn:de:kola-21341, URL:http://d-nb.info/1235402614/34, URL:https://kola.opus.hbz-nrw.de/frontdoor/index/index/docId/2134, IDN:1235402614",Online-Ressource,"Seggebäing, Alexander [Verfasser] ; Müller, Stefan [Akademischer Betreuer] ; Müller, Stefan [Gutachter] ; Nilles, Alexander Maximilian [Gutachter]","Point Rendering / Alexander Seggebäing ; Gutachter: Stefan Müller, Alexander Maximilian Nilles ; Betreuer: Stefan Müller",,,Koblenz ; Landau : Universität Koblenz-Landau,2021,Online-Ressource,,,,,,ger,XA-DE-RP,,,,,,lizenzfrei,Computergrafik ; Computervisualistik,,,,"21,O07"
"000 Allgemeines, Wissenschaft","URN:urn:nbn:de:101:1-2020123016163682835404, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2020123016163682835404, URL:http://d-nb.info/1224278860/34, URL:https://www.degruyter.com/books/9783110653755, ISBN:978-3-11-065375-5, 3-11-065375-3, IDN:1224278860",Online-Ressource,"Putnings, Markus [Herausgeber] ; Neuroth, Heike [Herausgeber] ; Neumann, Janna [Herausgeber]",Praxishandbuch Forschungsdatenmanagement,,1. Auflage,Berlin/Boston : De Gruyter; De Gruyter Saur,2021,"Online-Ressource, 594 Seiten : 28 Illustrationen, 21 Illustrationen",978-3-11-065375-5,,,,,ger,XA-DE-BE,,,De Gruyter Praxishandbuch,,,,Forschungsdaten ; Datenmanagement,Erscheint auch als: ISBN: 978-3-11-065780-7; Erscheint auch als: ISBN: 978-3-11-065780-7; Erscheint auch als: Praxishandbuch Forschungsdatenmanagement : 2021,,,"21,O01"
340 Recht,"URN:urn:nbn:de:gbv:18-3-2112, URL:http://nbn-resolving.de/urn:nbn:de:gbv:18-3-2112, URL:http://d-nb.info/1234713071/34, URL:http://hup.sub.uni-hamburg.de/purl/HamburgUP_KreutzerLahmann_Rechtsfragen_2.Aufl, IDN:1234713071",Online-Ressource,"Kreutzer, Till [Verfasser] ; Lahmann, Henning Christian [Verfasser] ; Kaulen, Ina [Verfasser]","Rechtsfragen bei Open Science : Ein Leitfaden / Till Kreutzer, Henning Lahmann, Ina Kaulen",,,Hamburg : Hamburg University Press,2021,Online-Ressource,,,,,,ger,XA-DE-HH,,,,,,lizenzfrei,Deutschland ; Open Science ; Urheberrecht ; Forschungsdaten ; Persönlichkeitsrecht ; Datenschutz,Erscheint auch als Till Kreutzer: Rechtsfragen bei Open Science,,,"19,N29 , 21,O07"
"333.7 Natürliche Ressourcen, Energie und Umwelt ; 620 Ingenieurwissenschaften und Maschinenbau","URN:urn:nbn:de:101:1-2021051016185821135667, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2021051016185821135667, URL:http://d-nb.info/1233245635/34, URL:https://kobra.uni-kassel.de/handle/123456789/12682, ISBN:978-3-7376-0852-7, IDN:1233245635",Online-Ressource,"Engel, Stephan [Verfasser]",sema – Social Energy Management : Entwicklung und Evaluierung eines Spiel-Anreiz-Konzepts für Social Communities zur Optimierung der Energieeffizienz und der verbesserten Nutzung fluktuierender Erneuerbarer Energien / Stephan Engel,,,Kassel : kassel university press c/o Universität Kassel - Universitätsbibliothek,2021,Online-Ressource,978-3-7376-0852-7,,,,,ger,XA-DE-HE,,,,,,lizenzfrei,Erneuerbare Energien ; Energieerzeugung ; Intelligentes Stromnetz ; Datenerfassung ; Serviceorientierte Architektur ; Systemplattform,Erscheint auch als Stephan Engel: Sema - social energy management,,,"21,O06"
330 Wirtschaft,"URN:urn:nbn:de:101:1-2021112616023842394237, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2021112616023842394237, URL:http://d-nb.info/124656629X/34, URL:https://kobra.uni-kassel.de/handle/123456789/13160, IDN:124656629X",Online-Ressource,"Rehs, Andreas [Verfasser]",Socioeconomic inequality in academia : machine learning-based data perspectives and empirical findings on junior researchers in Germany / Andreas Rehs,,,Kassel : Universitätsbibliothek Kassel,2021,Online-Ressource,,,,,,eng,XA-DE-HE,,,,,,lizenzfrei,Deutschland &lt;Östliche Länder> ; Deutschland &lt;Westliche Länder> ; Deutschland ; Soziale Situation ; Wissenschaftlicher Nachwuchs ; Datenbank ; Bibliometrie ; Wissenschaftstheorie ; Deutschland ; Wissenschaftsforschung ; Ökonomie ; Soziologie ; Ungleichheit ; Wissenschaft,,,,"21,O12"
"000 Allgemeines, Wissenschaft","URN:urn:nbn:de:101:1-2406050858164.282525395092, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2406050858164.282525395092, URL:http://d-nb.info/1331703921/34, URL:https://mediastudies.hypotheses.org/2751, URL:https://mediarep.org/handle/doc/21529, ISSN:ISSN der Vorlage: 2629-6020, IDN:1331703921",Online-Ressource,"Weimar, Lukas [Verfasser]","SUCHEN, FINDEN, WEITERVERARBEITEN UND PUBLIZIEREN IN REPOSITORIEN DER INFRASTRUKTUR VON DARIAH-DE — Lukas Weimer zur Arbeit mit geisteswissenschaftlichen Forschungsdaten in Repositorien / Lukas Weimar",,,Marburg : Philipps-Universität Marburg; Marburg : Sarah-Mai Dang; Marburg : Josephine Diecke; Marburg : Kai Matuszkiewicz; Marburg : Alena Strohmaier,2021,Online-Ressource,,,,,,ger,XA-DE-HE,,,,,,lizenzfrei,,,,,"24,O07"
"000 Allgemeines, Wissenschaft","URN:urn:nbn:de:101:1-2023090602112030182412, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2023090602112030182412, URL:http://d-nb.info/1301085561/34, URL:https://mediarep.org/handle/doc/21164, IDN:1301085561",Online-Ressource,"Rizzolli, Michaela Verfasser] ; Bachor, Martina [Herausgeber] ; [Hug, Theo [Herausgeber] ; Pallaver, Günther [Herausgeber]","Umgang mit (digitalen) Forschungsdaten: Rahmungen, Effekte und Herausforderungen / Michaela Rizzolli ; Herausgeber: Martina Bachor, Theo Hug, Günther Pallaver",,,Marburg : Philipps-Universität Marburg; Innsbruck : Innsbruck University Press,2021,Online-Ressource,,,,,,ger,XA-DE-HE,,,,,,lizenzfrei,,,,,"23,O10"
004 Informatik,"URN:urn:nbn:de:tuda-tuprints-200600, URL:http://nbn-resolving.de/urn:nbn:de:tuda-tuprints-200600, URL:http://d-nb.info/1247171949/34, URL:http://tuprints.ulb.tu-darmstadt.de/20060/, IDN:1247171949",Online-Ressource,"Reuter, Christian [Verfasser] ; Riebe, Thea [Verfasser] ; Imperatori, Philipp [Verfasser]","Verschlüsselungspolitik der USA: Vom Clipper-Chip zu Edward Snowden / Christian Reuter, Thea Riebe, Philipp Imperatori",,,Darmstadt : Universitäts- und Landesbibliothek,2021,Online-Ressource,,,,,,ger,XA-DE-HE,,,,,,lizenzfrei,,,,,"22,O01"
"621.3 Elektrotechnik, Elektronik ; 004 Informatik","URN:urn:nbn:de:101:1-2021090606490605778558, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2021090606490605778558, URL:http://d-nb.info/124061571X/34, URL:https://publications.rwth-aachen.de/record/820357, IDN:124061571X",Online-Ressource,"Shojaee, Saeed [Verfasser] ; Mathar, Rudolf [Akademischer Betreuer] ; Jax, Peter [Akademischer Betreuer]","Wireless channel modeling and estimation by artificial neural networks / Saeed Shojaee ; Rudolf Mathar, Peter Jax",,,Aachen : Universitätsbibliothek der RWTH Aachen,2021,Online-Ressource,,,,,,eng,XA-DE-NW,,,,,,lizenzfrei,Übertragungskanal ; Funkübertragung ; Mehrwegeausbreitung ; Maschinelles Lernen ; Ray tracing ; Neuronales Netz ; Deep Learning ; Generative Adversarial Network ; Convolutional Neural Network ; Transceiver,,,,"21,O10"
"610 Medizin, Gesundheit","URN:urn:nbn:de:101:1-2021031116450835632203, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2021031116450835632203, URL:http://d-nb.info/122915325X/34, IDN:122915325X",Online-Ressource,"Spitzer, Manfred [Sonstige]",Psychiatrie im dritten Jahrzehnt des 21. Jahrhunderts,,,,2021,Online-Ressource,,,,,,ger,XA-DE,,,,,,,,"Enthalten in: Nervenheilkunde : 2002, Bd. 40, 2021, Nr. 01/02: 6-12",,,
004 Informatik,"URN:urn:nbn:de:101:1-2022010821244688113061, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2022010821244688113061, URL:http://d-nb.info/1249036135/34, URL:https://doi.org/10.1007/s00287-021-01420-5, ISSN:ISSN der Vorlage: 1432-122X, IDN:1249036135",Online-Ressource,"Kureljusic, Marko [Verfasser] ; Karger, Erik [Verfasser]","Data Preprocessing as a Service – Outsourcing der Datenvorverarbeitung für KI-Modelle mithilfe einer digitalen Plattform / von Marko Kureljusic, Erik Karger",,,,2021,Online-Ressource : online resource.,,,,,,ger,XA-DE,,,,,,,,"Enthalten in: Informatik-Spektrum : 1986, 29.10.2021: 1-7",,,
004 Informatik,"URN:urn:nbn:de:101:1-2021041708202328224148, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2021041708202328224148, URL:http://d-nb.info/1231642181/34, URL:https://doi.org/10.1007/s13222-021-00373-z, ISSN:ISSN der Vorlage: 1610-1995, IDN:1231642181",Online-Ressource,"Rakow, Thomas C. [Verfasser] ; Faeskorn-Woyke, Heide [Verfasser] ; Saatz, Inga Marina Verfasser] ; [Knolle, Harm [Verfasser]","Es EILD – Anforderungen an die Publikation freier Lerneinheiten (OER) im Fach Datenbanken / von Thomas C. Rakow, Heide Faeskorn-Woyke, Inga Marina Saatz, Harm Knolle",,,,2021,Online-Ressource : online resource.,,,,,,ger,XA-DE,,,,,,,,"Enthalten in: Datenbank-Spektrum : 2001, 3.3.2021: 1-10",,,
004 Informatik,"URN:urn:nbn:de:101:1-2021011915192966296785, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2021011915192966296785, URL:http://d-nb.info/1225379873/34, URL:https://kobra.uni-kassel.de/handle/123456789/11707, IDN:1225379873",Online-Ressource,"Müller, Jürgen [Verfasser]",Analyzing given names : exploring potentials for a personalized name discovery on Nameling.net / Jürgen Müller,,,Kassel : Universitätsbibliothek Kassel,2020,Online-Ressource,,,,,,eng,XA-DE-HE,,,,,,lizenzfrei,Data Mining ; Maschinelles Lernen ; Empfehlungssystem ; Namengebung ; Namenkunde ; Prognose ; Data Science ; Statistische Analyse,,,,"21,O02"
510 Mathematik,"URN:urn:nbn:de:101:1-2020092503565647354131, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2020092503565647354131, URL:http://d-nb.info/121830040X/34, URL:http://hdl.handle.net/2003/39400, IDN:121830040X",Online-Ressource,"Fleischer, Yannik [Verfasser] ; Biehler, Rolf [Verfasser]","Automatisierte Entscheidungsverfahren als Thema im allgemeinbildenden Mathematikunterricht / Yannik Fleischer, Rolf Biehler",,,Dortmund : Universitätsbibliothek Dortmund,2020,Online-Ressource,,,,,,ger,XA-DE-NW,,,,,,lizenzfrei,,,,,"20,O10"
004 Informatik,"URN:urn:nbn:de:bsz:93-opus-ds-113902, URL:http://nbn-resolving.de/urn:nbn:de:bsz:93-opus-ds-113902, URL:http://d-nb.info/1230799184/34, , IDN:1230799184",Online-Ressource,"Schuiki, Laura [Verfasser]",Bedarfsgerechte Datenbereitstellung in einer vertrauenswürdigen Data-Science-Plattform / Laura Schuiki,,,Stuttgart : Universitätsbibliothek der Universität Stuttgart,2020,Online-Ressource,,,,,,ger,XA-DE-BW,,,,,,lizenzfrei,,,,,"21,O05"
"610 Medizin, Gesundheit","URN:urn:nbn:de:bsz:21-dspace-1079745, URL:http://nbn-resolving.de/urn:nbn:de:bsz:21-dspace-1079745, URL:http://d-nb.info/1219903795/34, URL:https://publikationen.uni-tuebingen.de/xmlui/handle/10900/107974/, IDN:1219903795",Online-Ressource,"Socarrás Fernández, Jairo Andrés [Verfasser]",CT-radiomics in the Context of Outcome Prediction after Chemoradio Therapy (CRT) in Cancer Patients / Jairo Andrés Socarrás Fernández,,,Tübingen : Universitätsbibliothek Tübingen,2020,Online-Ressource,,,,,,eng,XA-DE-BW,,,,,,lizenzfrei,Physik ; Onkologie ; Strahlentherapie ; Bildverarbeitung ; Data Science ; Maschinelles Lernen,,,,"20,O11"
004 Informatik,"URN:urn:nbn:de:101:1-2020022813140669728186, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2020022813140669728186, URL:http://d-nb.info/120557123X/34, URL:https://www.nordakademie.de/sites/default/files/2020-02/20200220_DASC-PM %28002%29.pdf, ISBN:978-3-00-064898-4, IDN:120557123X",Online-Ressource,"Schulz, Michael [Verfasser] ; Neuhaus, Uwe [Verfasser] ; Kaufmann, Jens [Verfasser] ; Badura, Daniel Verfasser] ; Kerzel, Ulrich [Verfasser] ; Welter, Felix [Verfasser] ; Prothmann, Maik [Verfasser] ; [Kühnel, Stephan [Verfasser] ; Passlick, Jens Verfasser] ; [Rißler, Raphael [Verfasser] ; Badewitz, Wolfgang Verfasser] ; Dann, David [Verfasser] ; Gröschel, Alexander [Verfasser] ; [Kloker, Simon [Verfasser] ; Alekozai, Emal M. [Verfasser] ; Felderer, Michael [Verfasser] ; Lanquillon, Carsten [Verfasser] ; Brauner, Dorothee Verfasser] ; [Gölzer, Philipp [Verfasser] ; Binder, Harald [Verfasser] ; Rhode, Heiko Verfasser] ; [Gehrke, Nick [Verfasser] ; Schulz, Michael [Verfasser] ; Neuhaus, Uwe [Verfasser]","DASC-PM v1.0 : ein Vorgehensmodell für Data-Science-Projekte / Michael Schulz, Uwe Neuhaus, Jens Kaufmann, Daniel Badura, Ulrich Kerzel, Felix Welter, Maik Prothmann, Stephan Kühnel, Jens Passlick, Raphael Rissler, Wolfgang Badewitz, David Dann, Alexander Gröschel, Simon Kloker, Emal M. Alekozai, Michael Felderer, Carsten Lanquillon, Dorothee Brauner, Philipp Gölzer, Harald Binder, Heiko Rhode, Nick Gehrke, Michael Schulz, Uwe Neuhaus ; Zusammenstellende: valantic Business Analytics GmbH, NORDAKADEMIE gAG Hochschule der Wirtschaft",,,"Elmshorn : Nordakademie, Hochschule der Wirtschaft",2020,Online-Ressource,978-3-00-064898-4,,,,,ger,XA-DE-SH,,,,,,lizenzfrei,,,,,"20,O03"
510 Mathematik,"URN:urn:nbn:de:101:1-2020092503443926643515, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2020092503443926643515, URL:http://d-nb.info/1218299541/34, URL:http://hdl.handle.net/2003/39313, IDN:1218299541",Online-Ressource,"Bata, Katharina [Verfasser] ; Eichler, Andreas [Verfasser] ; Schmitz, Angela [Verfasser]","Data Science an der Schnittstelle zur Mathematik – ein Design Research Projekt / Katharina Bata, Andreas Eichler, Angela Schmitz",,,Dortmund : Universitätsbibliothek Dortmund,2020,Online-Ressource,,,,,,ger,XA-DE-NW,,,,,,lizenzfrei,,,,,"20,O10"
650 Management,"URN:urn:nbn:de:hbz:1044-opus-50756, URL:http://nbn-resolving.de/urn:nbn:de:hbz:1044-opus-50756, URL:http://d-nb.info/1289610711/34, URL:https://pub.h-brs.de/frontdoor/index/index/docId/5075, IDN:1289610711",Online-Ressource,"Neifer, Thomas [Verfasser] ; Lawo, Dennis [Verfasser] ; Bossauer, Paul [Verfasser] ; Esau, Margarita [Verfasser] ; Jerofejev, Anna-Maria [Verfasser]","Data Storytelling als kritischer Erfolgsfaktor von Data Science / Thomas Neifer, Dennis Lawo, Paul Bossauer, Margarita Esau, Anna-Maria Jerofejev",,,Sankt Augustin : Hochschule Bonn-Rhein-Sieg,2020,Online-Ressource,,,,,,ger,XA-DE-NW,,,,,,lizenzfrei,Unternehmen ; Datenanalyse ; Data Science ; Datenaufbereitung ; Erzählen ; Präsentation ; Visualisierung,,,,"23,O06"
"300 Sozialwissenschaften, Soziologie, Anthropologie","URN:urn:nbn:de:0168-ssoar-68685-5, URL:http://nbn-resolving.de/urn:nbn:de:0168-ssoar-68685-5, URL:http://d-nb.info/1241796300/34, URL:https://www.ssoar.info/ssoar/handle/document/68685, IDN:1241796300",Online-Ressource,Rat für Sozial- und Wirtschaftsdaten (RatSWD),"Datenerhebung mit neuer Informationstechnologie: Empfehlungen zu Datenqualität und -management, Forschungsethik und Datenschutz",,,"Mannheim : SSOAR, GESIS – Leibniz-Institut für Sozialwissenschaften e.V.; Berlin : Rat für Sozial- und Wirtschaftsdaten (RatSWD)",2020,"Online-Ressource, 38 S.",,,,,,ger,XA-DE-BW,,,Output Series ; Bd. 6 (6),,,,,,,,"21,O10"
340 Recht,"URN:urn:nbn:de:gbv:hil2-opus4-10467, URL:http://nbn-resolving.de/urn:nbn:de:gbv:hil2-opus4-10467, URL:http://d-nb.info/1207997013/34, URL:https://hildok.bsz-bw.de/frontdoor/index/index/docId/1046, IDN:1207997013",Online-Ressource,"Sonnleitner, Magdalena [Verfasser] ; Manthey, Benjamin [Verfasser] ; Prock, Stefan [Verfasser]","Der Einsatz von Videos in der Lehrkräftebildung aus Sicht von Datenschutz und Forschungsethik / Magdalena Sonnleitner, Benjamin Manthey, Stefan Prock",,,Hildesheim : Universitätsverlag Hildesheim,2020,Online-Ressource,,,,,,ger,XA-DE-NI,,,,,,lizenzfrei,,,,,"20,O05"
004 Informatik,"URN:urn:nbn:de:bsz:900-opus4-65881, URL:http://nbn-resolving.de/urn:nbn:de:bsz:900-opus4-65881, URL:http://d-nb.info/1222672073/34, URL:https://hdms.bsz-bw.de/frontdoor/index/index/docId/6588, IDN:1222672073",Online-Ressource,"Vo, Stephanie [Verfasser] ; Ghellal, Sabiha [Akademischer Betreuer] ; Hoffmann, Dimitri [Gutachter]",Designing for Confidence A concept for elevating the user’s confidence during a statistical study with artificial intelligence / Stephanie Vo ; Gutachter: Dimitri Hoffmann ; Betreuer: Sabiha Ghellal ; IBM Design,,,Stuttgart : Hochschule der Medien,2020,Online-Ressource,,,,,,eng,XA-DE-BW,,,,,,lizenzfrei,Artificial Intelligence ; Maschinelles Lernen ; Gamification ; Data Science,,,,"21,O01"
900 Geschichte ; 004 Informatik,"URN:urn:nbn:de:101:1-2020080618571854778144, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2020080618571854778144, URL:http://d-nb.info/1215305931/34, URL:https://heinz-wember.de/Buchmysql/BuchMySQL2Auflage-20200520.pdf, ISBN:978-3-00-065480-0, IDN:1215305931",Online-Ressource,"Wember, Heinz [Verfasser]",Die Datenbank MySQL als Hilfsmittel für die Darstellung geschichtlicher Themen / Heinz Wember,,Zweite Auflage,Augsburg : Heinz Wember,2020,Online-Ressource,978-3-00-065480-0,,,,,ger,XA-DE-BY,,,,,,lizenzfrei,,,,,"20,O09"
510 Mathematik,"URN:urn:nbn:de:bvb:92-opus4-6172, URL:http://nbn-resolving.de/urn:nbn:de:bvb:92-opus4-6172, URL:http://d-nb.info/1209048841/34, URL:https://opus4.kobv.de/opus4-ohm/frontdoor/index/index/docId/617, IDN:1209048841",Online-Ressource,"Koch, Christian [Verfasser] ; Sultanow, Eldar [Verfasser] ; Cox, Sean [Verfasser]","Divisions by Two in Collatz Sequences / Christian Koch, Eldar Sultanow, Sean Cox ; Technische Hochschule Nürnberg",,,Nürnberg : Technische Hochschule Nürnberg Georg Simon Ohm,2020,Online-Ressource,,,,,,eng,XA-DE-BY,,,,,,lizenzfrei,Collatz-Problem ; Zahlentheorie ; Data Science,,,,"20,O05"
510 Mathematik,"URN:urn:nbn:de:bvb:92-opus4-6208, URL:http://nbn-resolving.de/urn:nbn:de:bvb:92-opus4-6208, URL:http://d-nb.info/1209875578/34, URL:https://opus4.kobv.de/opus4-ohm/frontdoor/index/index/docId/620, IDN:1209875578",Online-Ressource,"Koch, Christian [Verfasser] ; Sultanow, Eldar [Verfasser] ; Cox, Sean [Verfasser]","Divisions by Two in Collatz Sequences : a Data Science Approach (2nd ed.) : Working Paper Technische Hochschule Nürnberg 05 May 2020 / Christian Koch, Eldar Sultanow, Sean Cox ; Technische Hochschule Nürnberg",,,Nürnberg : Technische Hochschule Nürnberg Georg Simon Ohm,2020,Online-Ressource,,,,,,eng,XA-DE-BY,,,,,,lizenzfrei,Collatz-Problem ; Zahlentheorie ; Data Science,,,,"20,O06"
004 Informatik,"URN:urn:nbn:de:hbz:386-kluedo-79321, URL:http://nbn-resolving.de/urn:nbn:de:hbz:386-kluedo-79321, URL:http://d-nb.info/1325557927/34, URL:https://kluedo.ub.rptu.de/frontdoor/index/index/docId/7932, IDN:1325557927",Online-Ressource,"Sattler, Kai-Uwe [Verfasser] ; Kemper, Alfons [Verfasser] ; Härder, Theo [Verfasser]","Editorial / Kai-Uwe Sattler, Alfons Kemper, Theo Härder",,,"Kaiserslautern-Landau : Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau, Kaiserslautern - Fachbereich Informatik",2020,Online-Ressource,,,,,,ger,XA-DE-RP,,,,,,lizenzfrei,,,,,"24,O05"
650 Management,"URN:urn:nbn:de:bvb:739-opus4-8264, URL:http://nbn-resolving.de/urn:nbn:de:bvb:739-opus4-8264, URL:http://d-nb.info/121533754X/34, URL:https://opus4.kobv.de/opus4-uni-passau/frontdoor/index/index/docId/826, IDN:121533754X",Online-Ressource,"Kopp, Katrina [Verfasser] ; Grottke, Markus [Verfasser]","Essays on Fraud and Forensic Accounting - Research from a German Accounting Perspective / Katrina Kopp, Markus Grottke",,,Passau : Universität Passau,2020,Online-Ressource,,,,,,eng,XA-DE-BY,,,,,,lizenzfrei,Deutschland ; Rechnungswesen ; Betrug ; Wirtschaftskriminalität ; Datenanalyse ; Forensik,,,,"20,O09"
004 Informatik,"URN:urn:nbn:de:101:1-2020050508014664737731, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2020050508014664737731, URL:http://d-nb.info/1209550962/34, URL:https://www.dropbox.com/s/kh649mav73o7pk6/10.24419783966191241.pdf?dl=0, ISSN:ISSN der Vorlage: 2627-8758, IDN:1209550962",Online-Ressource,"Kirk, Wolfgang [Verfasser]",Good Practice - 7: Raspberry Pi in sieben Schritten als Datei-Server und Samba Share einrichten / Wolfgang Kirk,,,Essen : Wolfgang Kirk,2020,Online-Ressource,,,,,,ger,XA-DE-NW,,,Digitale Gesellschaft in Deuschland ; 54,,,lizenzfrei,,,,,"20,O06"
004 Informatik,"URN:urn:nbn:de:hbz:708-dh10842, URL:http://nbn-resolving.de/urn:nbn:de:hbz:708-dh10842, URL:http://d-nb.info/1217843787/34, URL:https://ub-deposit.fernuni-hagen.de/receive/mir_mods_00001658, IDN:1217843787",Online-Ressource,"Bouti, Adil [Verfasser] ; Keller, Jörg [Akademischer Betreuer] ; Keller, Jörg [Gutachter] ; Unger, Luise [Gutachter]","Homomorphe Verschlüsselung und Cloud-Computing / Adil Bouti ; Gutachter: Jörg Keller, Luise Unger ; Betreuer: Jörg Keller",,,Hagen : FernUniversität in Hagen,2020,Online-Ressource,,,,,,ger,XA-DE-NW,,,,,,lizenzfrei,,,,,"20,O10"
"610 Medizin, Gesundheit","URN:urn:nbn:de:bsz:25-freidok-1696935, URL:http://nbn-resolving.de/urn:nbn:de:bsz:25-freidok-1696935, URL:http://d-nb.info/1222436167/34, URL:https://freidok.uni-freiburg.de/data/169693, IDN:1222436167",Online-Ressource,"Das, Tonmoy Verfasser] ; [Geoffroy, Andrieux [Verfasser] ; Ahmed, Musaddeque Verfasser] ; [Chakraborty, Sajib [Verfasser]",Integration of online omics-data resources for cancer research,,,Freiburg : Universität,2020,Online-Ressource,,,,,,eng,XA-DE-BW,,,,,,lizenzfrei,Krebs &lt;Medizin> ; Datenintegration ; Systembiologie,,,,"20,O12"
"000 Allgemeines, Wissenschaft","URN:urn:nbn:de:bsz:352-2-fktnvszdv6z77, URL:http://nbn-resolving.de/urn:nbn:de:bsz:352-2-fktnvszdv6z77, URL:http://d-nb.info/1224192915/34, URL:https://kops.uni-konstanz.de/handle/123456789/52181, IDN:1224192915",Online-Ressource,"Böker, Elisabeth [Verfasser] ; Brettschneider, Peter [Verfasser] ; Axtmann, Alexandra [Verfasser] ; Mohammadianbisheh, Nina [Verfasser]","Kooperation im Forschungsdatenmanagement : Dimensionen der Vernetzung im Forschungsdatenmanagement am Beispiel der baden-württembergischen Landesinitiative bw2FDM / Elisabeth Böker, Peter Brettschneider, Alexandra Axtmann, Nina Mohammadianbisheh",,,Konstanz : KOPS Universität Konstanz,2020,Online-Ressource,,,,,,ger,XA-DE-BW,,,,,,lizenzfrei,,,,,"21,O01"
"380 Handel, Kommunikation, Verkehr ; 004 Informatik","URN:urn:nbn:de:bsz:14-qucosa2-729299, URL:http://nbn-resolving.de/urn:nbn:de:bsz:14-qucosa2-729299, URL:http://d-nb.info/1227312458/34, , IDN:1227312458",Online-Ressource,"Reitmann, Stefan [Verfasser] ; Nachtigall, Karl [Gutachter] ; Klawonn, Frank [Gutachter]","Künstliche neuronale Netze im leistungsbasierten Luftverkehrsmanagement / Stefan Reitmann ; Gutachter: Karl Nachtigall, Frank Klawonn",,,Dresden : Technische Universität Dresden,2020,Online-Ressource,,,,,,ger,XA-DE-SN,,,,,,lizenzfrei,,Erscheint auch als Stefan Reitmann: Künstliche neuronale Netze im leistungsbasierten Luftverkehrsmanagement,,,"21,O03"
004 Informatik,"URN:urn:nbn:de:hbz:386-kluedo-61963, URL:http://nbn-resolving.de/urn:nbn:de:hbz:386-kluedo-61963, URL:http://d-nb.info/1224883829/34, URL:https://kluedo.ub.uni-kl.de/frontdoor/index/index/docId/6196, IDN:1224883829",Online-Ressource,"Capraro, Patrick [Verfasser] ; Knippertz, Lynn [Verfasser] ; Schneider, Lisa [Verfasser]","Mathematische Modellierungswoche Dezember 2020 - Themenschwerpunkt Digitaler Wandel / Patrick Capraro, Lynn Knippertz, Lisa Schneider",,,"Kaiserslautern : Technische Universität Kaiserslautern, Fachbereich Mathematik",2020,Online-Ressource,,,,,,ger,XA-DE-RP,,,KOMMS Reports (Reports zur Mathematischen Modellierung in MINT-Projekten in der Schule) ; 13,,,lizenzfrei,,,,,"21,O02"
020 Bibliotheks- und Informationswissenschaft,"URN:urn:nbn:de:101:1-2020062916480134482503, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2020062916480134482503, URL:http://d-nb.info/121282198X/34, URL:https://edoc.hu-berlin.de/bitstream/handle/18452/22267/BHR455_Kalova.pdf?sequence=1&isAllowed=y, ISSN:ISSN der Vorlage: 14 38-76 62, IDN:121282198X",Online-Ressource,"Kalová, Tereza [Verfasser]",Metadaten für Forschungsdaten : Bedürfnisse und Anforderungen in den Naturwissenschaften / Tereza Kalová,,,Berlin : Institut für Bibliotheks- und Informationswissenschaft der Humboldt-Universität zu Berlin,2020,Online-Ressource,,,,,,ger,XA-DE-BE,,,Berliner Handreichungen zur Bibliotheks- und Informationswissenschaft ; 455,,,lizenzfrei,,,,,"20,O07"
"300 Sozialwissenschaften, Soziologie, Anthropologie","URN:urn:nbn:de:bsz:mh39-98901, URL:http://nbn-resolving.de/urn:nbn:de:bsz:mh39-98901, URL:http://d-nb.info/1249768187/34, URL:https://ids-pub.bsz-bw.de/frontdoor/index/index/docId/9890, IDN:1249768187",Online-Ressource,"Pfurtscheller, Daniel [Verfasser] ; Marx, Konstanze [Herausgeber] ; Lobin, Henning [Herausgeber] ; Schmidt, Axel [Herausgeber]","Öffentlichen Sprachgebrauch auf Facebook untersuchen. Zugänge, Probleme, Erste Hilfe / Daniel Pfurtscheller ; Herausgeber: Konstanze Marx, Henning Lobin, Axel Schmidt",,,Mannheim : Leibniz-Institut für Deutsche Sprache (IDS); Berlin [u.a.] : de Gruyter,2020,Online-Ressource,,,,,,ger,XA-DE-BW,,,,,,lizenzfrei,Facebook ; Datensammlung ; Sprachgebrauch ; Forschungsdaten ; Wissenschaftsethik,,,,"22,O02"
